Rank,Titulo,Calificacion,Link
1,Berserk,9.47,https://myanimelist.net/manga/2/Berserk
2,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.32,https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run
3,Vagabond,9.27,https://myanimelist.net/manga/656/Vagabond
4,One Piece,9.22,https://myanimelist.net/manga/13/One_Piece
5,Monster,9.16,https://myanimelist.net/manga/1/Monster
6,Slam Dunk,9.08,https://myanimelist.net/manga/51/Slam_Dunk
7,Vinland Saga,9.08,https://myanimelist.net/manga/642/Vinland_Saga
8,Fullmetal Alchemist,9.04,https://myanimelist.net/manga/25/Fullmetal_Alchemist
9,Grand Blue,9.03,https://myanimelist.net/manga/70345/Grand_Blue
10,Kingdom,9.01,https://myanimelist.net/manga/16765/Kingdom
11,Oyasumi Punpun,8.99,https://myanimelist.net/manga/4632/Oyasumi_Punpun
12,Houseki no Kuni,8.97,https://myanimelist.net/manga/44489/Houseki_no_Kuni
13,Real,8.95,https://myanimelist.net/manga/657/Real
14,20th Century Boys,8.94,https://myanimelist.net/manga/3/20th_Century_Boys
15,Ashita no Joe,8.93,https://myanimelist.net/manga/1303/Ashita_no_Joe
16,Yotsuba to!,8.91,https://myanimelist.net/manga/104/Yotsuba_to
17,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.89,https://myanimelist.net/manga/34053/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_8__Twilight_of_the_Golden_Witch
18,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.89,https://myanimelist.net/manga/90125/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
19,GTO,8.87,https://myanimelist.net/manga/336/GTO
20,Haikyuu!!,8.86,https://myanimelist.net/manga/35243/Haikyuu
21,3-gatsu no Lion,8.85,https://myanimelist.net/manga/1224/3-gatsu_no_Lion
22,Koe no Katachi,8.85,https://myanimelist.net/manga/56805/Koe_no_Katachi
23,Sousou no Frieren,8.84,https://myanimelist.net/manga/126287/Sousou_no_Frieren
24,Akatsuki no Yona,8.82,https://myanimelist.net/manga/21525/Akatsuki_no_Yona
25,Kaoru Hana wa Rin to Saku,8.82,https://myanimelist.net/manga/144267/Kaoru_Hana_wa_Rin_to_Saku
26,Kaze no Tani no Nausicaä,8.81,https://myanimelist.net/manga/651/Kaze_no_Tani_no_Nausicaä
27,Kokou no Hito,8.81,https://myanimelist.net/manga/7375/Kokou_no_Hito
28,Nana,8.80,https://myanimelist.net/manga/28/Nana
29,Dungeon Meshi,8.77,https://myanimelist.net/manga/85781/Dungeon_Meshi
30,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.77,https://myanimelist.net/manga/100448/Jumyou_wo_Kaitotte_Moratta_Ichinen_ni_Tsuki_Ichimanen_de
31,Hunter x Hunter,8.76,https://myanimelist.net/manga/26/Hunter_x_Hunter
32,Hajime no Ippo,8.74,https://myanimelist.net/manga/7/Hajime_no_Ippo
33,Uchuu Kyoudai,8.74,https://myanimelist.net/manga/14483/Uchuu_Kyoudai
34,Made in Abyss,8.73,https://myanimelist.net/manga/91941/Made_in_Abyss
35,Veil,8.73,https://myanimelist.net/manga/132678/Veil
36,One Punch-Man,8.72,https://myanimelist.net/manga/44347/One_Punch-Man
37,Shoujo Shuumatsu Ryokou,8.72,https://myanimelist.net/manga/72467/Shoujo_Shuumatsu_Ryokou
38,Kono Oto Tomare!,8.70,https://myanimelist.net/manga/45143/Kono_Oto_Tomare
39,Mushishi,8.70,https://myanimelist.net/manga/418/Mushishi
40,Death Note,8.69,https://myanimelist.net/manga/21/Death_Note
41,Beck,8.69,https://myanimelist.net/manga/145/Beck
42,Chainsaw Man,8.69,https://myanimelist.net/manga/116778/Chainsaw_Man
43,Medalist,8.68,https://myanimelist.net/manga/129621/Medalist
44,Dorohedoro,8.68,https://myanimelist.net/manga/1133/Dorohedoro
45,Natsume Yuujinchou,8.67,https://myanimelist.net/manga/1859/Natsume_Yuujinchou
46,Akira,8.66,https://myanimelist.net/manga/664/Akira
47,Tongari Boushi no Atelier,8.66,https://myanimelist.net/manga/100035/Tongari_Boushi_no_Atelier
48,Kusuriya no Hitorigoto,8.66,https://myanimelist.net/manga/107562/Kusuriya_no_Hitorigoto
49,Yagate Kimi ni Naru,8.65,https://myanimelist.net/manga/88660/Yagate_Kimi_ni_Naru
50,Bungou Stray Dogs: Beast,8.65,https://myanimelist.net/manga/123006/Bungou_Stray_Dogs__Beast
